,Country,Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Tertiary (male),Gross enrollment ratio - Tertiary (female),Health personnel: Physicians (per 1000 population),Health personnel: Pharmacists (per 1000 population),Health personnel: Nurses and midwives personnel (per 1000 population),Health personnel: Dentists (per 1000 population),Gross domestic expenditure on R & D: as a percentage of GDP (%),Gross domestic expenditure on R & D: Business enterprises (%),Gross domestic expenditure on R & D: Government (%),Gross domestic expenditure on R & D: Higher education (%),Gross domestic expenditure on R & D: Funds from abroad (%),Gross domestic expenditure on R & D: Not distributed (%),Gross domestic expenditure on R & D: Private non-profit (%),"Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)",Percentage of individuals using the internet,Total deaths/days since start
31,Afghanistan,105.7122,43.6825,4.0661,55.5956,652.864,16077.921,550.8872,15860.828,3.2361,123.106,71.8121,27.5933,9.0069,,,0.2,0.0,,,,,,,,,,,,,,,,4.0,0.25234206807408616
32,Albania,103.8886,18.0283,19.0889,105.2616,28.748,11926.9483,4045.7447,10420.2693,3.7069,100.4183,100.9562,79.2454,76.5058,18.841,27.3505,1.2,0.4,4.0,,,,,,,,,,,61.9777,39.9811,37.1777,38.64,45.0,1.2355237217033124
33,Algeria,102.0717,29.6396,9.305,17.3777,2381.741,161207.305,4480.7868,140977.0162,3.6,111.6804,103.3146,75.4584,82.6705,18.3611,23.4771,,,,,,,,,,,,,,,17.0116,20.2706,18.0695,12.5,0.13410252483014476
35,Andorra,,,,163.7553,0.46799999999999997,3355.4939,39733.968,2895.6219,-5.3588,,,,,,,,,,,,,,,,,,,,90.64,86.4503,86.4503,86.4503,81.0,2.3531591624976844
36,Angola,97.8886,46.953,3.5797,23.9166,1246.7,83799.4789,3587.883,93159.2631,4.8592,,,,,,,,,,,,,,,,,,,,,,,,2.8,0.0613681952562834
38,Antigua and Barbuda,93.0156,22.2319,12.7712,216.8773,0.442,1148.7,13049.2571,1231.2616,-7.8406,,,,,,,,,,,,,,,,,,,,,,,,47.0,0.6455877153880442
39,Argentina,95.1258,24.9268,15.1301,16.0548,2780.4,426487.4349,10428.6488,599349.3701,10.1254,115.8331,114.7471,88.8204,96.801,52.5903,75.4685,,,,,0.6226,19.1509,74.7918,1.9938,3.5291,,0.5345,,,,,,,45.0,3.4290340583006844
40,Armenia,88.8379,20.4544,16.7716,103.4349,29.743000000000002,9875.3778,3432.1456,8517.365,2.2151,94.6153,96.345,,,32.8492,45.9512,2.8,0.0,5.2,0.4,0.25,,73.8182,,2.2752,23.9066,,,,61.7069,45.4793,,48.1352,25.0,2.3019673342963074
42,Australia,99.2113,19.065,20.8116,3.2002,7692.06,1299463.076,58654.1144,1085035.921,2.4627,101.9609,103.5759,,,,,3.3,0.9,10.4,0.5,1.9194,,,,,,,98.65,,,,,69.4869,76.0,0.054921562904676174
43,Austria,96.447,14.2309,24.7457,107.0259,83.87100000000001,391892.7465,46598.7067,362278.2825,1.8371,100.9076,100.7537,102.7777,97.8061,,,4.8,0.7,6.7,0.6,3.0498,49.7395,32.5904,0.6023,16.5507,,0.5171,,,98.543,99.9753,92.3014,96.7062,75.17,1.736197930448183
44,Azerbaijan,99.3816,23.2877,10.0693,119.1091,86.6,52905.9989,5857.3183,47988.7579,4.7888,98.1721,92.7838,,,,,3.7,0.2,7.4,0.3,0.2223,32.1754,65.7568,0.4136,,,1.6543,,,68.7006,84.7537,,,46.0,0.7885063981768416
45,Bahamas,94.4079,22.8741,10.8991,38.1374,13.94,10095.8,28443.5204,11521.3404,1.5384,101.9396,98.8475,88.8174,88.0972,,,,,,,,,,,,,,,,,,,,43.0,1.0129340568062912
46,Bahrain,169.5785,19.8415,4.6051,1965.8895,0.7709999999999999,25713.2713,20722.1373,26003.0008,4.3368,94.1298,97.5083,91.4696,101.4538,13.0099,39.8646,0.9,0.2,2.5,0.1,,,,,,,,,,98.9822,,,95.9896,55.0,1.2360293861634344
47,Bangladesh,102.6044,28.2246,7.4013,1226.7452,147.57,114507.7977,775.9273,143126.6022,5.5718,99.4306,103.9545,45.5096,48.477,8.4177,4.398,0.4,0.1,0.2,0.0,,,,,,,,44.5941,60.6344,55.7482,,24.1198,,3.7,0.1778320977439256
48,Barbados,93.3901,17.6402,21.3624,665.6558,0.431,4529.9283,16056.1169,4712.5849,-2.3162,96.3096,95.9429,109.1129,107.9563,,,,,,,,,,,,,,,,,,,,65.1,0.24595203935232632
49,Belarus,87.0642,16.7079,21.3287,46.5735,207.6,57231.9059,6075.2037,53218.7952,7.75,100.0308,96.7394,,,57.2247,78.3719,3.3,0.3,10.6,0.5,0.5,41.3073,45.9734,,12.7194,,,,,90.0546,85.8085,84.7266,85.5344,31.8,0.5314850750930475
50,Belgium,97.2751,17.0365,24.6264,377.1383,30.528000000000002,480951.6295,43967.7398,433266.475,2.8643,100.6821,100.233,151.099,169.0976,54.5378,67.916,2.9,1.2,10.1,0.7,2.4612,58.5967,22.5056,1.9885,16.5475,,0.3618,,,99.5232,,,90.2725,75.0,3.120975930170843
51,Belize,99.3723,30.9036,6.9745,16.4739,22.965999999999998,1377.1791,4270.7996,1529.4069,3.0035,115.7286,110.7629,75.2545,77.7002,12.4504,19.6482,,,,0.0,,,,,,,,,,,,,,28.2,1.2687222552343669
52,Benin,99.5251,42.6686,4.9885,99.10600000000001,114.76299999999999,6970.2547,757.6974,6470.1964,2.1141,112.4288,88.9544,,,,,0.1,0.0,0.5,,,,,,,,,,,,,,,3.13,0.017107310481377334
55,Bolivia (Plurin. State of),100.9357,31.5346,9.841000000000001,10.3322,1098.5810000000001,19649.7862,1955.477,25266.5579,4.1266,114.7443,114.8849,89.0138,84.9408,,,0.4,0.1,0.8,0.1,,,,,,,,,,,20.2491,,18.0905,22.4,2.2915360747916704
56,Bosnia and Herzegovina,96.0808,14.7957,23.01,65.7162,51.208999999999996,17176.3208,4635.3935,15171.623,0.868,,,,,,,1.8,0.1,5.5,0.2,0.2186,31.3917,37.6034,,16.9013,,0.032,,,88.5367,8.5932,,19.9123,42.75,4.306372655090512
57,Botswana,92.9864,34.4388,6.5272,3.8909,582.0,12786.6123,6434.7945,11419.8663,8.5636,111.8563,110.4301,82.4303,84.8016,10.6805,9.1928,0.4,,2.9,0.0,,,,,,,,83.7359,,,,,,6.0,1.2139531410043312
58,Brazil,96.8091,21.6838,12.7425,24.866,8515.767,2208838.109,11286.0717,1703150.041,7.5282,137.2152,129.1646,96.5187,106.2145,22.7626,29.2681,1.8,0.5,1.5,1.1,1.3426,45.546,52.2369,2.2171,,,,91.8432,,,36.5074,,34.846,40.65,3.82609136486746
60,Brunei Darussalam,108.3312,23.496,7.9291,80.5452,5.765,13707.1163,35268.8984,12994.5543,2.5991,112.7498,108.4104,97.306,95.8458,9.7389,19.3951,1.4,0.1,7.5,0.2,,,,,,,,,,,,,,53.0,0.01153934918070621
61,Bulgaria,94.5606,14.4447,27.599,65.4241,111.00200000000001,50363.5574,6782.9634,46369.9094,0.5698,103.8853,102.8019,91.0423,87.3167,42.0935,48.8634,3.8,,4.7,0.9,0.9602,35.5818,20.3493,0.0838,43.8444,,0.1406,,,96.831,58.8408,,51.1676,46.23,3.8742669195496418
62,Burkina Faso,99.4851,45.1815,3.8616,70.1507,272.967,10099.8023,647.2068,9081.9151,8.4462,64.6491,51.8041,16.7062,11.8204,3.1694,1.4304,0.0,0.0,0.6,0.0,,,,,,,,,,,,,,2.4,0.013413477671877446
64,Cabo Verde,100.6544,29.1832,7.0361,133.3742,4.033,1664.3106,3378.2546,1482.614,1.4668,116.694,111.7254,66.8304,75.2758,7.3772,7.8808,0.6,0.0,1.1,0.0,,,,,,,,,,,,,,30.0,0.8370028316836828
65,Cambodia,95.2837,31.2724,7.0525,90.6946,181.035,11242.2788,785.5025,12759.5233,5.9629,135.6161,126.0035,,,4.6628,2.1241,0.2,0.0,0.9,0.0,0.1182,19.4424,23.4988,,34.9339,,22.0636,51.1692,14.2608,21.751,,,,1.26,0.5013759176255764
66,Cameroon,99.9424,42.8673,4.3007,51.9686,475.65,26143.7528,1285.2585,24076.8463,3.4228,112.5032,94.2691,30.2435,23.8464,7.0577,4.6362,0.1,0.0,0.5,0.0,,,,,,,,,,,,,,4.3,0.08147926383406259
67,Canada,98.4026,15.87,23.2775,4.0394,9984.67,1617265.764,47361.0874,1398718.796,3.0895,97.7712,96.9387,102.4871,100.2344,,,,,,,1.6972,43.9545,31.6411,10.0169,9.7647,,3.9907,,,98.5269,81.9764,81.5101,81.8875,80.3,1.0397562034623797
69,Central African Republic,98.2628,44.6462,4.4704,7.3775,622.984,2033.8139,463.6247,2319.0852,3.5643,75.1138,52.6202,,,,,,,,,,,,,,,,,,,,,,2.0,0.03623236629887117
70,Chad,99.6443,47.4006,3.9439,11.9256,1284.0,10970.6281,917.8801,9709.1199,15.0,85.3118,57.7772,23.1702,8.0297,2.6613,0.1715,,,,,,,,,,,,,,,,,,1.7,0.01759872836039121
72,Chile,97.0562,20.0242,16.1159,24.8415,756.102,218537.5655,12808.0354,201493.8499,5.8442,106.8901,102.1463,92.9039,94.1103,50.4398,48.265,1.4,0.3,1.3,,0.3807,32.7729,42.5962,11.1207,12.8785,,0.6317,98.6473,,96.554,66.6675,,63.2003,45.0,2.7067595748568265
73,China,105.4808,17.9374,15.9633,151.3624,9600.0,6087192.374,4447.0669,7541001.457,10.3919,,,,,20.0283,18.0885,1.5,0.3,1.5,,2.0656,74.726,21.2648,,0.7422,,,92.7454,,,58.3206,37.1313,47.562,34.3,0.005123125995542108
76,Colombia,96.2693,23.5569,12.0886,44.0828,1141.748,286103.6432,6326.5493,233340.6508,4.3476,122.5995,120.4072,78.6698,87.2285,29.5094,31.905,1.6,,0.9,1.0,0.2898,44.6514,9.6361,28.6153,0.4361,,16.661,81.3321,37.1103,71.5874,14.8949,,15.5904,36.5,3.4851093117580207
77,Comoros,101.7736,39.7725,4.8678,437.3412,2.235,907.094,1315.216,760.4988,4.8011,,,,,,,,,,,,,,,,,,,,,,,,5.1,0.29728013282951055
